# STA
Mystic Forge;99;BRR
Ornithopter;37;BRR
Ornithopter;100;BRR
Perilous Vault;38;BRR
Perilous Vault;101;BRR
Phyrexian Processor;39;BRR
Phyrexian Processor;102;BRR
Phyrexian Revoker;40;BRR
Phyrexian Revoker;103;BRR
Platinum Angel;41;BRR
Platinum Angel;104;BRR
Precursor Golem;42;BRR
Precursor Golem;105;BRR
Pristine Talisman;43;BRR
Pristine Talisman;106;BRR
Psychosis Crawler;44;BRR
Psychosis Crawler;107;BRR
Quicksilver Amulet;45;BRR
Quicksilver Amulet;108;BRR
Quietus Spike;46;BRR
Quietus Spike;109;BRR
Ramos, Dragon Engine;47;BRR
Ramos, Dragon Engine;110;BRR
Runechanter's Pike;48;BRR
Runechanter's Pike;111;BRR
Scrap Trawler;49;BRR
Scrap Trawler;112;BRR
Sculpting Steel;50;BRR
Sculpting Steel;113;BRR
Self-Assembler;51;BRR
Self-Assembler;114;BRR
Semblance Anvil;52;BRR
Semblance Anvil;115;BRR
Sigil of Valor;53;BRR
Sigil of Valor;116;BRR
Soul-Guide Lantern;54;BRR
Soul-Guide Lantern;117;BRR
Springleaf Drum;55;BRR
Springleaf Drum;118;BRR
Staff of Domination;56;BRR
Staff of Domination;119;BRR
Sundering Titan;57;BRR
Sundering Titan;120;BRR
Swiftfoot Boots;58;BRR
Swiftfoot Boots;121;BRR
Sword of the Meek;59;BRR
Sword of the Meek;122;BRR
Thorn of Amethyst;60;BRR
Thorn of Amethyst;123;BRR
Unwinding Clock;61;BRR
Unwinding Clock;124;BRR
Well of Lost Dreams;62;BRR
Well of Lost Dreams;125;BRR
Wurmcoil Engine;63;BRR
Wurmcoil Engine;126;BRR

